Genus1974,Family1974
Edithornis,Rallidae
Cyclarhis,Cyclarhidae
Didunculus,Columbidae
Cyclorrhynchus,Alcidae
Diglossa,Coerebidae
Dinemellia,Ploceidae
Egretta,Ardeidae
Dinopium,Picidae
Elaenia,Tyrannidae
Diomedea,Diomedeidae
Elanoides,Accipitridae
Cymbilaimus,Formicariidae
Dioptrornis,Muscicapidae
Electron,Momotidae
Cymbirhynchus,Eurylaimidae
Diphyllodes,Paradisaeidae
Eleothreptus,Caprimulgidae
Cynanthus,Trochilidae
Discosura,Trochilidae
Elminia,Muscicapidae
Elvira,Trochilidae
Embernagra,Fringillidae
Emberiza,Fringillidae
Emberizoides,Fringillidae
Emblema,Ploceidae
Eminia,Sylviidae
Empidonax,Tyrannidae
Empidonomus,Tyrannidae
Empidornis,Muscicapidae
Endomychura,Alcidae
Enicognathus,Psittacidae
Enicurus,Turdidae
Enodes,Sturnidae
Ensifera,Trochilidae
Entomodestes,Turdidae
Entomyzon,Meliphagidae
Entotriccus,Tyrannidae
Eophona,Fringillidae
Eopsaltria,Muscicapidae
Eos,Psittacidae
Ephippiorhynchus,Ciconiidae
Epimachus,Paradisaeidae
Epthianura,Sylviidae
Pterocles,Pteroclidae
Eremiornis,Sylviidae
Eremomela,Sylviidae
Eremobius,Furnariidae
Eremophila,Alaudidae
Eremopterix,Alaudidae
Ergaticus,Parulidae
Eriocnemis,Trochilidae
Erythrocercus,Muscicapidae
Erythrocnus,Ardeidae
Erythropygia,Turdidae
Erythrothlypis,Thraupidae
Erythrotriorchis,Accipitridae
Erythrura,Ploceidae
Esacus,Burhinidae
Estrilda,Ploceidae
Eubucco,Capitonidae
Eucometis,Thraupidae
Eudocimus,Threskiornithidae
Eudromias,Charadriidae
Eudromia,Tinamidae
Eudynamys,Cuculidae
Eudyptes,Spheniscidae
Eudyptula,Spheniscidae
Eugenes,Trochilidae
Eugerygone,Sylviidae
Eugralla,Rhinocryptidae
Eulabeornis,Rallidae
Eulacestoma,Muscicapidae
Eulampis,Trochilidae
Eulidia,Trochilidae
Eulipoa,Megapodiidae
Eumomota,Momotidae
Euneornis,Coerebidae
Eunymphicus,Psittacidae
Euodice,Ploceidae
Euphagus,Icteridae
Eupetes,Timaliidae
Eupetomena,Trochilidae
Eupherusa,Trochilidae
Euphonia,Thraupidae
Euplectes,Ploceidae
Eupodotis,Otididae
Euptilotis,Trogonidae
Pycnonotus,Pycnonotidae
Eurocephalus,Laniidae
Eurostopodus,Caprimulgidae
Euryceros,Vangidae
Eurylaimus,Eurylaimidae
Eurynorhynchus,Scolopacidae
Eurypyga,Eurypygidae
Eurystomus,Coraciidae
Euscarthmus,Tyrannidae
Euschistospiza,Ploceidae
Euthlypis,Parulidae
Eutoxeres,Trochilidae
Eutriorchis,Accipitridae
Euxenura,Ciconiidae
Excalfactoria,NA
Lanius,Laniidae
Falcipennis,Tetraonidae
Falco,Falconidae
Falculea,Vangidae
Falcunculus,Muscicapidae
Ferminia,Troglodytidae
Ficedula,Muscicapidae
Finschia,Sylviidae
Florida,Ardeidae
Florisuga,Trochilidae
Fluvicola,Tyrannidae
Formicarius,Formicariidae
Formicivora,Formicariidae
Forpus,Psittacidae
Foudia,Ploceidae
Foulehaio,Meliphagidae
Francolinus,Phasianidae
Fraseria,Muscicapidae
Fratercula,Alcidae
Frederickena,Formicariidae
Fregata,Fregatidae
Fregetta,Hydrobatidae
Fringilla,Fringillidae
Fringillaria,Fringillidae
Fulica,Rallidae
Fulmarus,Procellariidae
Furnarius,Furnariidae
Gabianus,Laridae
Galbalcyrhynchus,Galbulidae
Galbula,Galbulidae
Galerida,Alaudidae
Gallicolumba,Columbidae
Gallicrex,Rallidae
Gallinula,Rallidae
Gallirallus,Rallidae
Gallirex,Musophagidae
Galloperdix,Phasianidae
Gallus,Phasianidae
Gampsonyx,Accipitridae
Gampsorhynchus,Timaliidae
Pomatostomus,Timaliidae
Garrodia,Hydrobatidae
Garrulus,Corvidae
Gavia,Gaviidae
Gecinulus,Picidae
Gelochelidon,Laridae
Geobates,Furnariidae
Geococcyx,Cuculidae
Geocolaptes,Picidae
Geoffroyus,Psittacidae
Geokichla,Turdidae
Geomalia,Turdidae
Geopelia,Columbidae
Geophaps,Columbidae
Geopsittacus,Psittacidae
Geositta,Furnariidae
Geospiza,Fringillidae
Geotrygon,Columbidae
Geranoaetus,Accipitridae
Geranospiza,Accipitridae
Geronticus,Threskiornithidae
Gerygone,Sylviidae
Glareola,Glareolidae
Glaucidium,Strigidae
