ScientificName2021,CommonName2021,Family2021,ScientificName2023,CommonName2023,Family2023
Alopecoenas norfolkensis,Norfolk Ground Dove,Columbidae,Pampusana norfolkensis,Norfolk Ground Dove,Columbidae
Alopecoenas stairi,Shy Ground Dove,Columbidae,Pampusana stairi,Shy Ground Dove,Columbidae
Alopecoenas sanctaecrucis,Santa Cruz Ground Dove,Columbidae,Pampusana sanctaecrucis,Santa Cruz Ground Dove,Columbidae
Alopecoenas ferrugineus,Tanna Ground Dove,Columbidae,Pampusana ferruginea,Tanna Ground Dove,Columbidae
Alopecoenas salamonis,Thick-billed Ground Dove,Columbidae,Pampusana salamonis,Thick-billed Ground Dove,Columbidae
Alopecoenas rubescens,Marquesas Ground Dove,Columbidae,Pampusana rubescens,Marquesas Ground Dove,Columbidae
Alopecoenas beccarii,Bronze Ground Dove,Columbidae,Pampusana beccarii,Bronze Ground Dove,Columbidae
Alopecoenas canifrons,Palau Ground Dove,Columbidae,Pampusana canifrons,Palau Ground Dove,Columbidae
Alopecoenas hoedtii,Wetar Ground Dove,Columbidae,Pampusana hoedtii,Wetar Ground Dove,Columbidae
Treron griveaudi,Comoros Green-Pigeon,Columbidae,Treron griveaudi,Comoro Green-Pigeon,Columbidae
Treron oxyurus,Green-spectacled Green-Pigeon,Columbidae,Treron oxyurus,Sumatran Green-Pigeon,Columbidae
Ptilinopus purpuratus,Gray-green Fruit-Dove,Columbidae,,,
,,,Ptilinopus purpuratus,Gray-green Fruit-Dove,Columbidae
,,,Ptilinopus chrysogaster,Raiatea Fruit-Dove,Columbidae
Ptilinopus solomonensis,Yellow-bibbed Fruit-Dove,Columbidae,,,
,,,Ptilinopus solomonensis,Yellow-bibbed Fruit-Dove,Columbidae
,,,Ptilinopus speciosus,Geelvink Fruit-Dove,Columbidae
Alectroenas payandeei,Rodrigues Blue-Pigeon,Columbidae,Alectroenas payandeei,Rodrigues Blue-Pigeon,Columbidae
Ducula aenea,Green Imperial-Pigeon,Columbidae,,,
,,,Ducula aenea,Green Imperial-Pigeon,Columbidae
,,,Ducula oenothorax,Enggano Imperial-Pigeon,Columbidae
Ducula myristicivora,Spice Imperial-Pigeon,Columbidae,,,
,,,Ducula myristicivora,Spice Imperial-Pigeon,Columbidae
,,,Ducula geelvinkiana,Geelvink Imperial-Pigeon,Columbidae
Ducula badia,Mountain Imperial-Pigeon,Columbidae,,,
,,,Ducula badia,Mountain Imperial-Pigeon,Columbidae
,,,Ducula cuprea,Malabar Imperial-Pigeon,Columbidae
Saudareos ornatus,Ornate Lorikeet,Psittaculidae,Saudareos ornata,Ornate Lorikeet,Psittaculidae
Trichoglossus haematodus,Coconut Lorikeet,Psittaculidae,,,
,,,Trichoglossus haematodus,Coconut Lorikeet,Psittaculidae
,,,Trichoglossus rosenbergii,Biak Lorikeet,Psittaculidae
Glossoptila goldiei,Goldie's Lorikeet,Psittaculidae,Glossoptilus goldiei,Goldie's Lorikeet,Psittaculidae
Vini solitarius,Collared Lory,Psittaculidae,Vini solitaria,Collared Lory,Psittaculidae
Charmosyna papou,Papuan Lorikeet,Psittaculidae,,,
,,,Charmosyna papou,West Papuan Lorikeet,Psittaculidae
,,,Charmosyna stellae,Stella's Lorikeet,Psittaculidae
Calyptorhynchus baudinii,Baudin's Black-Cockatoo,Cacatuidae,Zanda baudinii,Baudin's Black-Cockatoo,Cacatuidae
Calyptorhynchus latirostris,Carnaby's Black-Cockatoo,Cacatuidae,Zanda latirostris,Carnaby's Black-Cockatoo,Cacatuidae
Calyptorhynchus funereus,Yellow-tailed Black-Cockatoo,Cacatuidae,Zanda funerea,Yellow-tailed Black-Cockatoo,Cacatuidae
Lophochroa leadbeateri,Pink Cockatoo,Cacatuidae,Cacatua leadbeateri,Pink Cockatoo,Cacatuidae
Cacatua sulphurea,Yellow-crested Cockatoo,Cacatuidae,,,
,,,Cacatua sulphurea,Yellow-crested Cockatoo,Cacatuidae
,,,Cacatua citrinocristata,Citron-crested Cockatoo,Cacatuidae
Cyclopsitta gulielmitertii,Orange-breasted Fig-Parrot,Psittaculidae,,,
,,,Cyclopsitta gulielmitertii,Blue-fronted Fig-Parrot,Psittaculidae
,,,Cyclopsitta melanogenia,Dusky-cheeked Fig-Parrot,Psittaculidae
,,,Cyclopsitta nigrifrons,Black-fronted Fig-Parrot,Psittaculidae
Psittinus cyanurus,Blue-rumped Parrot,Psittaculidae,,,
,,,Psittinus cyanurus,Blue-rumped Parrot,Psittaculidae
,,,Psittinus abbotti,Simeulue Parrot,Psittaculidae
Tanygnathus sumatranus,Azure-rumped Parrot,Psittaculidae,,,
,,,Tanygnathus sumatranus,Azure-rumped Parrot,Psittaculidae
,,,Tanygnathus everetti,Blue-backed Parrot,Psittaculidae
Eclectus roratus,Eclectus Parrot,Psittaculidae,,,
,,,Eclectus roratus,Moluccan Eclectus,Psittaculidae
,,,Eclectus cornelia,Sumba Eclectus,Psittaculidae
,,,Eclectus riedeli,Tanimbar Eclectus,Psittaculidae
,,,Eclectus polychloros,Papuan Eclectus,Psittaculidae
Eclectus infectus,Oceanic Parrot,Psittaculidae,Eclectus infectus,Oceanic Eclectus,Psittaculidae
Barnardius zonarius,Australian Ringneck,Psittaculidae,Barnardius zonarius,Australian Ringneck,Psittaculidae
Psephotus varius,Mulga Parrot,Psittaculidae,Psephotellus varius,Mulga Parrot,Psittaculidae
Psephotus dissimilis,Hooded Parrot,Psittaculidae,Psephotellus dissimilis,Hooded Parrot,Psittaculidae
Psephotus chrysopterygius,Golden-shouldered Parrot,Psittaculidae,Psephotellus chrysopterygius,Golden-shouldered Parrot,Psittaculidae
Psephotus pulcherrimus,Paradise Parrot,Psittaculidae,Psephotellus pulcherrimus,Paradise Parrot,Psittaculidae
Cyanoramphus novaezelandiae,Red-crowned Parakeet,Psittaculidae,,,
,,,Cyanoramphus novaezelandiae,Red-crowned Parakeet,Psittaculidae
,,,Cyanoramphus erythrotis,Macquarie Parakeet,Psittaculidae
Mascarinus mascarin,Mascarene Parrot,Psittaculidae,Mascarinus mascarinus,Mascarene Parrot,Psittaculidae
Coracopsis nigra,Lesser Vasa Parrot,Psittaculidae,,,
