CommonNameV3,ScientificNameV3,Recognised
Shy Albatross,Thalassarche cauta,R
White-capped Albatross,Thalassarche steadi,R
Chatham Albatross,Thalassarche eremita,R
Salvin's Albatross,Thalassarche salvini,R
Grey-headed Albatross,Thalassarche chrysostoma,R
Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,R
Indian Yellow-nosed Albatross,Thalassarche carteri,R
Buller's Albatross,Thalassarche bulleri,R
,Thalassarche bulleri,NR
,Thalassarche platei,NR
Southern Giant-petrel,Macronectes giganteus,R
Northern Giant-petrel,Macronectes halli,R
Southern Fulmar,Fulmarus glacialoides,R
Northern Fulmar,Fulmarus glacialis,R
Antarctic Petrel,Thalassoica antarctica,R
Cape Petrel,Daption capense,R
Snow Petrel,Pagodroma nivea,R
Blue Petrel,Halobaena caerulea,R
Broad-billed Prion,Pachyptila vittata,R
Medium-billed Prion,Pachyptila salvini,R
Antarctic Prion,Pachyptila desolata,R
Thin-billed Prion,Pachyptila belcheri,R
Fairy Prion,Pachyptila turtur,R
Fulmar Prion,Pachyptila crassirostris,R
Kerguelen Petrel,Lugensa brevirostris,R
Large St Helena Petrel,Pterodroma rupinarum,R
Barau's Petrel,Pterodroma baraui,R
,Pterodroma arminjoniana,NR
Trindade Petrel,Pterodroma arminjoniana,R
