"","ScientificName2023","CommonName2023","FolkGeneric","Family2023","Order2023","BeakLengthCulmen","BeakLengthNares","BeakWidth","BeakDepth","TarsusLength","WingLength","KippsDistance","Secondary","HandWingIndex","TailLength","Mass","ScientificNameV3","ScientificName1974","CommonName1974","Family1974","Language","LangID","Order1974"
"124","Gavia pacifica","Pacific Loon","yeekagáaxi","Gaviidae","Gaviiformes",71.9,41.1,8.3,12.9,72.8,291.2,139,151.5,47.9,48.4,2251.1,"Gavia pacifica","Gavia arctica","Arctic Loon","Gaviidae","Tlingit",124,"Gaviiformes"
"125","Troglodytes pacificus","Pacific Wren","woolnáx wooshkaak","Troglodytidae","Passeriformes",11.8,8.1,2,2.5,17.4,44.2,8.4,35.8,19,30.1,9.4,"Troglodytes troglodytes","Troglodytes troglodytes","Northern Wren","Troglodytidae","Tlingit",125,"Passeriformes"
"126","Sphyrapicus ruber","Red-breasted Sapsucker","gandaadagóogu","Picidae","Piciformes",25.8,21.5,8,7.1,21.6,126.6,38.4,88.2,30.4,80.8,54.8,"Sphyrapicus ruber","Sphyrapicus varius","Common Sapsucker","Picidae","Tlingit",126,"Piciformes"
"127","Dendragapus fuliginosus","Sooty Grouse","káax’","Phasianidae","Galliformes",25.9,14.4,9.6,10.6,41.8,223.2,88.8,134.4,39.9,140,1047.3,"Dendragapus fuliginosus","Dendragapus obscurus","Blue Grouse","Tetraonidae","Tlingit",127,"Galliformes"
"128","Cygnus columbianus","Tundra Swan","gúkl’","Anatidae","Anseriformes",101.9,41.1,30.4,20,93.8,538.2,243.8,294.5,45.3,162.2,6378,"Cygnus columbianus","Olor columbianus","Whistling Swan","Anatidae","Tlingit",128,"Anseriformes"
"129","Megascops kennicottii","Western Screech-Owl","xéex","Strigidae","Strigiformes",24.4,12.9,6.8,12.7,39.9,176.8,47.9,128.8,27.1,85.2,141.8,"Megascops kennicottii","Otus asio","Common Screech Owl","Strigidae","Tlingit",129,"Strigiformes"
"130","Gallinago delicata","Wilson's Snipe","lu.áadaa","Scolopacidae","Charadriiformes",66.9,57.7,4.6,6.6,29.4,128.4,59.5,68.5,46.5,55,112.9,"Gallinago gallinago","Capella gallinago","Common Snipe","Scolopacidae","Tlingit",130,"Charadriiformes"
"131",NA,NA,"ch'éeni kwlayáat'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tlingit",131,NA
"132",NA,NA,"chée",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tlingit",132,NA
"133",NA,NA,"s'awan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tlingit",133,NA
